,AAPL,GOOG,MSFT,NFLX
count,250.0,250.0,250.0,250.0
mean,172.54900030517578,119.61186019897461,313.95100067138674,390.2478798828125
std,17.331671976989153,16.373268619907083,40.97585795058849,54.87005271231644
min,125.0199966430664,86.7699966430664,222.30999755859375,292.760009765625
25%,162.11249923706055,105.14250183105469,282.99498748779297,338.7200012207031
50%,175.47500610351562,123.96500015258789,324.65000915527344,395.7150115966797
75%,187.3300018310547,133.29000091552734,337.89749908447266,435.04749298095703
max,198.11000061035156,142.82000732421875,382.70001220703125,495.0199890136719
