Date,AAPL,GOOG,MSFT,NFLX
2023-01-03,,,,
2023-01-04,,,,
2023-01-05,,,,
2023-01-06,,,,
2023-01-09,,,,
2023-01-10,,,,
2023-01-11,,,,
2023-01-12,,,,
2023-01-13,,,,
2023-01-17,,,,
2023-01-18,,,,
2023-01-19,,,,
2023-01-20,,,,
2023-01-23,,,,
2023-01-24,,,,
2023-01-25,,,,
2023-01-26,,,,
2023-01-27,,,,
2023-01-30,,,,
2023-01-31,135.77899932861328,94.01600074768066,237.28099975585937,334.7589996337891
2023-02-01,136.79699897766113,94.60250091552734,237.93949966430665,338.1109985351562
2023-02-02,138.0199993133545,95.6070011138916,239.71449966430663,340.98499908447263
2023-02-03,139.49399948120117,96.52950134277344,241.51650009155273,343.7949981689453
2023-02-06,140.59949951171876,97.29500122070313,243.10849990844727,346.0914993286133
2023-02-07,141.82449951171876,98.2570011138916,245.13050003051757,348.4804992675781
2023-02-08,142.88399963378907,98.79500122070313,247.0245002746582,350.4449981689453
2023-02-09,143.75299911499025,98.95500106811524,248.41699981689453,352.2069976806641
2023-02-10,144.63299865722655,99.10250091552734,249.64650039672853,353.06849670410156
2023-02-13,145.58749923706054,99.21250076293946,251.2510009765625,354.3559967041016
2023-02-14,146.45049896240235,99.3520004272461,252.84200134277344,356.0429962158203
2023-02-15,147.4564987182617,99.61800041198731,254.5175018310547,357.79749755859376
2023-02-16,148.37849884033204,99.71150016784668,256.0285018920898,359.5439971923828
2023-02-17,149.11249923706055,99.47700004577636,256.9205017089844,359.8169967651367
2023-02-21,149.48099899291992,99.01900024414063,257.4250015258789,358.82099609375
2023-02-22,149.79999923706055,98.64850044250488,257.89850158691405,357.37349700927734
2023-02-23,150.1769989013672,98.36550025939941,258.6065017700195,355.15799713134766
2023-02-24,150.3144989013672,97.875,258.66750183105466,352.7719970703125
2023-02-27,150.41399917602538,97.34449996948243,258.7675018310547,350.88499755859374
2023-02-28,150.63449935913087,96.96200027465821,259.1030014038086,349.33599853515625
2023-03-01,150.6854995727539,96.49400024414062,259.02600173950196,347.3169998168945
2023-03-02,150.70950012207032,96.03800010681152,258.94400177001955,344.8115005493164
2023-03-03,150.71999969482422,95.29899978637695,258.4785011291504,342.2259994506836
2023-03-06,150.68649978637694,94.81699981689454,258.404500579834,339.5324996948242
2023-03-07,150.68000030517578,94.35199966430665,258.2735008239746,336.88199920654296
2023-03-08,150.59100036621095,93.68249969482422,257.580500793457,334.3239990234375
2023-03-09,150.5245002746582,93.31549987792968,256.86000061035156,330.8714996337891
2023-03-10,150.40600051879883,93.09300003051757,256.1085006713867,327.38450012207034
2023-03-13,150.37900085449218,92.93300018310546,255.6495002746582,324.69200134277344
