Date,AAPL,GOOG,MSFT,NFLX
2023-01-03,125.06999969482422,89.69999694824219,239.5800018310547,294.95001220703125
2023-01-04,125.19285692487445,89.605711437407,238.58190699986048,296.327154250372
2023-01-05,125.17639404089273,89.33564336175552,237.03220133878744,297.60075977005386
2023-01-06,125.599594143397,89.22367767607493,235.87961003754876,299.31021005795054
2023-01-09,126.03296554845294,89.18332771185425,235.04536099751436,300.8206675217395
2023-01-10,126.48030175598495,89.18872486917951,234.4553271980859,303.3653666668045
2023-01-11,127.14789258809725,89.4812274660415,234.58053453850258,305.6410469619303
2023-01-12,127.74428411895555,89.71253948471464,234.954768821201,307.97332866868095
2023-01-13,128.41244701303938,90.00658363395685,235.36193328847128,310.3396790168274
2023-01-17,129.12935705383623,90.21167125568566,235.83698784228503,311.85209065529176
2023-01-18,129.70846654526775,90.36103578174387,235.83441733907634,313.23093788547976
2023-01-19,130.23813680500044,90.69903272273106,235.46256737114348,313.4737055896528
2023-01-20,130.96498045378016,91.51626758526113,235.91565630919678,316.2381145811145
2023-01-23,131.9311728496441,92.43948010899557,236.55035588270707,320.16020018555446
2023-01-24,132.94058484294436,93.08429143999338,237.07317849255713,324.31922746047934
2023-01-25,133.79005301126887,93.43150209874959,237.41001869425185,328.4754906980602
2023-01-26,134.75862003056395,93.97707367621243,238.41858834241833,331.9416339760723
2023-01-27,135.8225602824894,94.6183046674753,239.3463421823889,334.68719159870085
2023-01-30,136.50612596987136,94.935608694215,239.66669118538684,336.4417433846877
2023-01-31,137.24744666665816,95.40555098491663,240.4422441733113,338.1006235720091
2023-02-01,138.02673676276513,95.97930806303656,241.6144113949007,340.3758013493773
2023-02-02,139.24514348290356,97.20032663339096,243.80351565286404,342.90096452071634
2023-02-03,140.69798696072226,97.96410516551593,245.18889569578323,345.09134827078947
2023-02-06,141.74865446232386,98.4884762183909,246.29185696415357,346.65217329131696
2023-02-07,142.97735345605344,99.3981452371658,248.31739416362407,348.2043484261469
2023-02-08,143.82903390490029,99.45546473838812,250.07097671816732,349.97821872577725
2023-02-09,144.49960163940383,99.07494419991998,251.3613594228359,351.17076932332225
2023-02-10,145.11963905534975,98.67352100091347,252.47932577337681,350.807837516488
2023-02-13,145.9511025837465,98.32366185796933,254.2736763972665,351.54709178389095
2023-02-14,146.64147347560322,98.0023604379953,255.97808944778726,352.348320324004
2023-02-15,147.4689523665986,97.91642120334062,257.24874829316167,353.21229109578786
2023-02-16,148.06333849490989,97.71295240105074,257.7155335887162,352.9739768442917
2023-02-17,148.49063988127637,97.41552801408311,257.7483396810855,352.4964544262714
2023-02-21,148.489626152349,96.90452563671879,257.2646881085007,351.0682206713884
2023-02-22,148.5296621056595,96.41838062862726,256.7166220511993,349.52648583438116
2023-02-23,148.6125508476428,95.90901101588412,256.53122988179564,347.06205803077194
2023-02-24,148.4313561682356,95.28434315476383,255.83492239026302,344.2132900179826
2023-02-27,148.3826554063984,94.79059604232167,255.29445393996266,342.1958337095364
2023-02-28,148.29002190694231,94.36292051941082,254.73498196177053,340.2848023927055
2023-03-01,148.00621006424245,93.99597591148888,253.92879361040772,337.73196511590766
2023-03-02,147.8065713592774,93.83540654454649,253.6603371342119,335.2698736651367
2023-03-03,148.1135644468983,93.85298655392934,253.81554248201388,333.35655166615044
2023-03-06,148.65798705491318,94.01746419936985,254.1064427329828,331.325451391212
2023-03-07,148.93817934525626,94.03199124409133,254.1105904628401,329.14874185116355
2023-03-08,149.3126379902021,94.09084936616634,254.07148631859266,327.495529155331
2023-03-09,149.43429116617241,93.95457834673235,253.90467879531894,324.66547864332773
2023-03-10,149.34531105510837,93.67414251716075,253.39851856127814,321.626862559737
2023-03-13,149.45242440421262,93.48231976906061,253.44818328581786,318.94906705553586
2023-03-14,149.75124077884863,93.55543217200722,254.14740473906588,316.6624894732378
2023-03-15,150.05969456116438,93.84062939865012,255.22289023452686,315.4365389086363
2023-03-16,150.61115280329307,94.52914085542861,257.22071137476536,314.9244873514894
2023-03-17,151.0291382505985,95.28446068676614,259.33588102248115,313.83644093706187
2023-03-20,151.63588640734952,95.91736922185277,260.5638933999904,313.0072565509429
2023-03-21,152.36389710943973,96.86238132814209,261.82257010278147,312.3198995979885
2023-03-22,152.8844785114983,97.56310703219552,262.8194690020329,310.56562286451197
2023-03-23,153.46024176523952,98.39138275638932,264.2328532553735,311.499372602862
2023-03-24,154.1068854066453,99.12172702326593,265.7887726905016,313.1080051786311
2023-03-27,154.50432477546926,99.49680040758287,266.7974614707217,314.49390979610524
2023-03-28,154.80391231080404,99.6742480459418,267.600561424589,315.35353638825444
2023-03-29,155.37211154524755,99.88622456784057,268.8300326951638,316.94177090168705
2023-03-30,156.03762478954317,100.02277457993425,270.2795522282881,318.98826821350553
2023-03-31,156.8816599425852,100.40155795327385,271.9957841868291,321.5112913347267
2023-04-03,157.76626358319092,100.83093373506772,273.44666292963853,324.0606920437334
2023-04-04,158.51519132601203,101.23941649806908,274.75459909593786,326.2215785157588
2023-04-05,159.0146963908524,101.59280511237128,275.66749407136194,327.7576192384023
2023-04-06,159.5523447024007,102.28872858032439,277.1848761696623,328.859749460675
2023-04-10,159.7883117573432,102.73265890107847,278.347270310498,329.8245342962655
2023-04-11,159.8846633091922,103.05526307684072,278.7741956687616,330.62314926377144
2023-04-12,159.90517214674682,103.26142861435142,279.2233189607248,330.66189683667864
2023-04-13,160.4437269478751,103.73081659788045,280.23443109188344,332.14076403712886
2023-04-14,160.89765835416006,104.27645302517494,280.79686762107906,332.758786974813
